,CV_Estado,Pronóstico (mm),Climatología (mm),Anomalía (mm),Anomalía (%)
Aguascalientes,1,8.4,10.9,-2.5,77.1
Baja California,2,21.7,29.0,-7.3,74.8
Baja California Sur,3,5.9,8.7,-2.8,67.8
Campeche,4,29.4,33.9,-4.5,86.7
Chiapas,7,44.4,48.7,-4.3,91.2
Chihuahua,8,9.8,13.8,-4.0,71.0
Ciudad de México,9,5.6,10.3,-4.7,54.4
Coahuila,5,6.4,11.0,-4.6,58.2
Colima,6,8.9,8.9,0.0,100.0
Durango,10,6.6,11.5,-4.9,57.4
Guanajuato,11,7.2,11.2,-4.0,64.3
Guerrero,12,1.1,6.9,-5.8,15.9
Hidalgo,13,18.3,22.4,-4.1,81.7
Jalisco,14,11.4,12.8,-1.4,89.1
Michoacán,16,5.2,9.6,-4.4,54.2
Morelos,17,1.2,7.0,-5.8,17.1
México,15,6.5,12.0,-5.5,54.2
Nayarit,18,11.0,15.8,-4.8,69.6
Nuevo León,19,10.7,17.3,-6.6,61.8
Oaxaca,20,14.0,21.5,-7.5,65.1
Puebla,21,14.6,19.1,-4.5,76.4
Querétaro,22,10.4,14.1,-3.7,73.8
Quintana Roo,23,37.2,43.3,-6.1,85.9
San Luis Potosí,24,10.3,14.3,-4.0,72.0
Sinaloa,25,6.7,14.7,-8.0,45.6
Sonora,26,14.2,20.0,-5.8,71.0
Tabasco,27,80.5,95.3,-14.8,84.5
Tamaulipas,28,12.4,19.6,-7.2,63.3
Tlaxcala,29,7.4,10.9,-3.5,67.9
Veracruz,30,41.2,47.0,-5.8,87.7
Yucatán,31,27.0,35.9,-8.9,75.2
Zacatecas,32,8.4,10.8,-2.4,77.8
Nacional,,14.8,17.6,-2.8,84.1
