year,month,domestico,comercial,industrial,Poficial,Pconces,hidrante,beneficiencias,ganadero
2014,enero,5076883,308171,73888,203790,38739,2596,62443,9450
2014,febrero,4951833,288218,72525,202464,35166,26,57748,8843
2014,marzo,2957931,294519,78180,231602,41805,37,62042,6762
2014,abril,5428736,302596,79411,242441,41119,28,53625,7532
2014,mayo,5937131,321802,84036,240812,40135,41,54517,8354
2014,junio,5334797,299759,76886,227499,38559,19,49496,6400
2014,julio,5094863,301412,80098,230906,41902,28,47529,8592
2014,agosto,4906984,303467,78701,201336,39995,50,43217,7740
2014,septiembre,5455924,324002,82556,200385,36,45031,8746
2014,octubre,5240250,309783,83680,225618,41836,363,46417,8772
2014,noviembre,4963971,310233,79510,222964,46636,21,26800,7743
2014,diciembre,5144596,318616,86877,231272,47560,37,50285,7959
2015,enero,5332460,318811,76398,220272,46319,33,48231,6936
2015,febrero,5349089,304252,72800,213664,37378,1640,47569,8253
2015,marzo,5244783,298998,78428,224844,41804,2089,48503,8243
2015,abril,5091893,298912,76150,213461,40237,2292,49529,8145
2015,mayo,5601688,320379,75522,225017,38753,2194,49506,8758
2015,junio,5346894,315442,83664,220749,40823,2599,45794,9041
2015,julio,5223,185,317481,80780,227440,41214,1598,54024,8708
2015,agosto,5185242,323219,75095,191784,38116,2210,45716,7263
2015,septiembre,5565834,331012,78337,194141,39035,2211,47915,8903
2015,octubre,5292038,318804,73342,224026,41611,2320,48614,7469
2015,noviembre,5437559,324980,76513,230072,45068,185,54971,7692
2015,diciembre,5550505,336515,76378,219910,43589,3156,52207,6037
2016,enero,5444577,331746,70770,205079,41331,2188,50831,4812
2016,febrero,5555782,325621,73621,209889,38032,2238,53984,4085
2016,marzo,5367200,315911,72261,231034,40974,1607,57061,3910
2016,abril,5653475,330440,75619,223046,42771,1597,56512,4822
2016,mayo,5972776,340592,72565,236364,42671,169,58083,5718
2016,junio,5846729,336195,82186,236400,44387,1945,60068,4559
2016,julio,5633257,342024,81588,229092,43284,2461,54769,5038
2016,agosto,5420375,341417,75207,208978,38711,2262,48579,4251
2016,septiembre,5389234,344320,77280,198858,35701,1603,47442,3652
2016,octubre,5628568,356582,75924,226619,42004,2192,46696,3580
2016,noviembre,5529755,348037,77028,226775,42612,2542,44137,3925
2016,diciembre,5601717,1337490,358897,75906,235374,43345,2860,49323,3658
2017,enero,5588435,351597,73650,214193,41553,2850,50959,3932
2017,febrero,5645957,350944,71905,220055,38040,1908,52831,3072
2017,marzo,5953776,357167,75345,234595,43654,2634,58267,3618
2017,abril,5801722,345673,78069,230938,44758,2258,55645,3555
2017,mayo,6370628,352515,77524,234340,43905,2637,57396,4104
2017,junio,6191315,358057,75626,236194,41721,2616,59425,3468
2017,julio,6156744,358352,81269,237923,41951,2635,55580,3880
2017,agosto,5618190,345954,73820,210206,37631,2610,49450,3706
2017,septiembre,5745193,340347,74169,198783,34050,1564,48435,3454
2017,octubre,5785713,338887,71368,228083,41890,1567,49729,3878
2017,noviembre,5521533,334422,74160,225692,42854,1603,50780,3072
2017,diciembre,6121340,355982,76394,241651,45865,1568,53289,3597
2018,enero,5739450,336612,73558,228931,43198,1567,51544,3234
2018,febrero,5661048,326374,71573,219351,36001,1568,52590,3435
2018,marzo,5703,509,335274,71426,233743,42510,1562,51135,1820
2018,abril,6087189,363539,78993,254365,42870,2248,53351,3474
2018,mayo,3687788,74432,38076,120491,9415,NA,13267,3474
2018,junio,6351788,366114,81671,250678,44353,2276,61228,3401
2018,junio,6223119,371976,78481,257322,44012,1870,63333,3491
2018,agosto,5844658,366982,76397,215077,39326,1736,59361,2900
2018,septiembre,6227415,378974,77984,225943,39028,1884,63607,3644
2018,octubre,5889155,369077,76207,235974,43232,1610,60887,3462
2018,noviembre,5652151,354138,75705,235750,436446,1504,56910,3184
2018,diciembre,6117595,381731,75640,246375,44503,1488,62037,3719
2019,enero,5734294,359381,69168,69168,223351,40753,1330,54601,3453
2019,febrero
