id,Full Address,Latitude,Longitude
1,,20.8481,-100.4161
2,,20.7608,-100.4848
3,,20.6501,-100.5232
4,,20.572,-100.465
5,,20.4511,-100.495
6,,20.3816,-100.3667
7,,20.3455,-100.2857
8,,20.2966,-100.1978
9,,20.1986,-100.1593
10,,20.175,-100.065
11,,20.1329,-100.0755
12,,20.0539,-100.0449
13,,20.1646,-99.9545
14,,20.315,-99.947
15,,20.5535,-100.0845
16,,20.6513,-99.9393
17,,20.7232,-100.155
18,,20.7194,-99.5116
19,,20.8657,-99.5968
20,,20.7746,-99.6963
21,,21.1591,-99.5871
22,,21.2697,-99.6146
23,,21.9454,-99.6877
24,,21.2305,-99.2766
25,,21.2241,-99.0871
26,,21.4731,-99.3164
27,,20.6727,-99.5475
28,,20.6059,-99.7178
29,,20.8597,-100.1806
30,,20.3094,-99.9509
31,,20.4214,-100.1308
