id,Full Address,Latitude,Longitude
1,,-100.4161,20.8481
2,,-100.4848,20.7608
3,,-100.5232,20.6501
4,,-100.4656,20.572
5,,-100.495,20.4511
6,,-100.3667,20.3816
7,,-100.2857,20.3455
8,,-100.1978,20.2966
9,,-100.1593,20.1986
10,,-100.0659,20.175
11,,-100.0755,20.1329
12,,-100.0449,20.0539
13,,-99.9545,20.1646
14,,-99.9474,20.315
15,,-100.0845,20.5535
16,,-99.9393,20.6513
17,,-100.155,20.7232
18,,-99.5116,20.7194
19,,-99.5968,20.8657
20,,-99.6963,20.7746
21,,-99.5871,21.1591
22,,-99.6146,21.2697
23,,-99.6877,21.9454
24,,-99.2766,21.2305
25,,-99.0871,21.2241
26,,-99.3164,21.4731
27,,-99.5475,20.6727
28,,-99.7178,20.6059
29,,-100.1806,20.8597
30,,-99.9509,20.3094
31,,-100.1308,20.4214
